Date,US,UK,Switzerland,Sweden,Spain,Singapore,Norway,Netherlands,Japan,Italy,HongKong,Germany,France,Denmark,Canada,Belgium,Austria,Australia
11/5/2010,1168.860734,1174.874323,3899.221348,6605.119506,562.703091,4242.354151,2837.893339,2062.92308,2321.403904,345.475348,9183.100946,1737.954541,1597.571596,5443.357249,1775.846624,1137.809235,1489.377112,889.506673
11/8/2010,1166.804651,1164.948686,3872.022417,6549.975127,549.030289,4311.754688,2807.198718,2042.453991,2345.491171,342.555204,9266.532995,1721.564036,1580.847014,5391.14795,1787.407247,1125.645074,1471.117646,881.680467
11/9/2010,1157.789734,1167.976529,3880.935938,6623.603348,555.891292,4353.767391,2836.190754,2049.335415,2349.522404,348.605952,9160.405225,1733.161018,1595.63126,5425.234774,1780.059709,1136.30161,1486.503171,878.165638
11/10/2010,1163.078958,1150.081438,3802.338647,6477.060649,537.419117,4291.652548,2769.030688,2012.021799,2330.550606,335.786972,9153.385355,1689.580179,1548.852276,5337.992474,1773.220301,1112.076892,1449.519787,856.863649
11/11/2010,1158.368806,1158.829369,3791.453677,6412.994497,531.476261,4312.02644,2775.080651,1992.025538,2348.042879,332.276973,9112.99847,1686.467605,1535.504772,5331.019516,1772.283663,1093.534962,1414.787178,860.120432
11/12/2010,1144.388325,1155.179477,3771.515651,6359.146727,537.886154,4211.619654,2753.510637,1990.599276,2324.481545,332.277738,9024.27392,1693.670052,1525.46236,5328.941305,1738.953363,1093.082735,1432.764874,845.912087
11/15/2010,1143.167268,1153.815276,3770.675847,6369.991564,540.313629,4174.151799,2742.940683,1988.113443,2320.853032,332.346486,8987.108085,1694.489521,1526.618198,5303.59698,1739.059117,1093.477901,1434.595418,844.609047
11/16/2010,1124.508625,1115.348785,3711.811747,6187.592755,525.568902,4142.248319,2635.515458,1957.507061,2301.1514,324.581896,8918.45732,1658.119399,1482.742209,5237.22804,1695.901106,1072.203642,1407.008323,838.462856
11/17/2010,1125.120276,1117.948549,3721.062958,6225.77521,530.153833,4145.111405,2657.017091,1965.965633,2314.439368,325.529787,8744.991135,1665.82101,1491.711183,5245.130717,1706.390804,1084.386914,1412.084676,829.801834
11/18/2010,1142.322074,1137.476755,3759.480609,6380.067989,539.70573,4173.283865,2706.963003,2003.184154,2348.411229,330.651051,8893.394165,1706.52976,1526.476376,5273.161992,1736.558753,1110.413428,1440.007103,837.183158
